,day,month,days,is_it_job,seniority,company_code,country_code
11961,20,7,80.0,1,3.0,103,116
11962,27,8,42.0,1,2.0,103,27
11963,15,8,55.0,1,3.0,103,116
11964,28,7,73.0,0,3.0,103,116
11965,3,8,66.0,0,3.0,103,34
11966,1,9,37.0,0,3.0,103,116
11967,15,8,55.0,1,3.0,103,116
11968,13,8,56.0,1,3.0,103,116
11969,25,8,45.0,1,3.0,103,116
11970,7,9,31.0,0,4.0,103,100
11971,10,9,28.0,0,3.0,103,116
11972,18,9,21.0,1,2.0,103,116
11973,2,10,7.0,0,4.0,103,39
11974,23,9,16.0,1,3.0,103,116
11975,6,8,64.0,1,2.0,103,116
11976,22,8,48.0,0,3.0,103,116
11977,8,8,62.0,1,3.0,103,116
11978,15,8,55.0,1,3.0,103,116
11979,27,8,42.0,0,2.0,103,27
11980,29,8,41.0,1,3.0,103,116
11981,1,9,38.0,0,4.0,103,116
11982,1,9,38.0,0,4.0,103,116
11983,10,9,28.0,0,4.0,103,116
11984,4,9,35.0,0,2.0,103,116
11985,25,7,76.0,1,2.0,103,116
11986,25,8,45.0,1,3.0,103,116
11987,28,9,10.0,1,4.0,103,16
11988,22,9,17.0,1,3.0,103,37
11989,7,10,2.0,0,3.0,103,116
11990,1,10,8.0,0,4.0,103,93
11991,15,8,55.0,1,3.0,103,26
11992,7,9,32.0,1,3.0,103,100
11993,10,9,28.0,1,3.0,103,116
11994,3,10,6.0,0,3.0,103,93
11995,5,9,33.0,0,4.0,103,116
11996,25,9,14.0,0,3.0,103,93
11997,20,8,49.0,1,2.0,103,116
11998,28,7,73.0,1,2.0,103,116
11999,29,7,71.0,1,4.0,103,116
12000,29,9,9.0,0,3.0,103,116
12001,27,7,74.0,0,2.0,103,21
12002,30,7,70.0,0,2.0,103,116
12003,14,9,24.0,1,3.0,103,116
12004,14,9,24.0,0,3.0,103,116
12005,22,7,79.0,1,3.0,103,116
12006,16,9,23.0,1,3.0,103,116
12007,18,8,52.0,0,3.0,103,116
12008,12,8,57.0,0,2.0,51,116
12009,18,9,21.0,0,3.0,51,27
12010,21,8,49.0,0,2.0,51,27
12011,23,9,16.0,1,3.0,51,17
12012,31,8,38.0,1,3.0,51,27
12013,21,8,49.0,0,2.0,51,27
12014,16,9,22.0,0,3.0,51,27
12015,21,8,49.0,0,1.0,51,27
12016,15,9,23.0,0,3.0,51,27
