name;company_name;company_url;location;total_feedback;count_feedback,recruiter_urlAndré Nürnberger;PAN Personalvermittlung & Beratung;https://www.bestcruiter.com/personalberatung/pan-personalvermittlung-beratung;Berlin;4.90;107 Empfehlungen;https://www.bestcruiter.com/person/andre-nuernberger
Katja Haindl;headwaypersonal;https://www.bestcruiter.com/personalberatung/headway-personal;Ergolding;4.87;3 Empfehlungen;https://bestcruiter.com/person/katja-haindl
Albert Abel;PINK PERSONALMANAGEMENT GMBH;https://www.bestcruiter.com/personalberatung/pink-personalmanagement-gmbh;Lübbecke;4.80;1 Empfehlungen;https://bestcruiter.com/person/albert-abel
Christa Neumann;HireBird GmbH;https://www.bestcruiter.com/personalberatung/hirebird-gmbh;Berlin;4.94;14 Empfehlungen;https://bestcruiter.com/person/christa-neumann
Marcel Wickert;JARL SKAND PERSONALBERATUNG;https://www.bestcruiter.com/personalberatung/jarl-skand-personalberatung;Höhr-Grenzhausen;4.84;23 Empfehlungen;https://bestcruiter.com/person/marcel-wickert
Mark Grundmann;Grundmann Personalberatung;;Stuhr;4.40;1 Empfehlungen;https://bestcruiter.com/person/mark-grundmann
Siegfried Scharff;jobs4people, Agentur für Personalberatung;;Leipzig;;;https://bestcruiter.com/person/siegfried-scharff
Hakan Ikierler;TPM Consulting;https://www.bestcruiter.com/personalberatung/tpm-consulting;Frankfurt am Main;4.79;13 Empfehlungen;https://bestcruiter.com/person/hakan-ikierler
Alexandru Ene;HanseVision GmbH;;Hamburg;5.00;1 Empfehlungen;https://bestcruiter.com/person/alexandru-ene
Sabrina Stadler;headwaypersonal;https://www.bestcruiter.com/personalberatung/headway-personal;D-84030 Ergolding;5.00;7 Empfehlungen;https://bestcruiter.com/person/sabrina-stadler
Michaela Heinrich;headwaypersonal;https://www.bestcruiter.com/personalberatung/headway-personal;Ergolding;4.80;1 Empfehlungen;https://bestcruiter.com/person/michaela-heinrich
Jürgen Bühler;CAVISIO;https://www.bestcruiter.com/personalberatung/cavisio;Stuttgart;4.80;75 Empfehlungen;https://bestcruiter.com/person/juergen-buehler
Mario Riedinger;DIS AG;;Berlin;;;https://bestcruiter.com/person/mario-riedinger
Björn Hinghaus;A!B!C Personal GmbH;https://www.bestcruiter.com/personalberatung/a-b-c-personalberatungs-gmbh;Wuppertal;4.90;62 Empfehlungen;https://bestcruiter.com/person/bjoern-hinghaus
Herr Sebastian von Rabenau;Dark & Noam Deutschland;;Frankfurt am Main;4.80;4 Empfehlungen;https://bestcruiter.com/person/sebastian-vonrabenau
Robert Harrer;CAPIT Executive GmbH;https://www.bestcruiter.com/personalberatung/capit-executive-gmbh;München;4.89;7 Empfehlungen;https://bestcruiter.com/person/robert-harrer
Tom McDonnell;Glocomms;;London;;;https://bestcruiter.com/person/tom-mcdonnell
Ivonne Suttner;MINT Solutions GmbH;https://www.bestcruiter.com/personalberatung/mint-solutions-gmbh;München;4.87;9 Empfehlungen;https://bestcruiter.com/person/ivonne-suttner
Merle Holtermann;MINT Solutions;;München;4.89;7 Empfehlungen;https://bestcruiter.com/person/merle-holtermann
Michael Roth;mi.ro Personalberatung;;Dietramszell / Ascholding;5.00;1 Empfehlungen;https://bestcruiter.com/person/michael-roth
Danny Friedrich;Friedrich Consulting;https://www.bestcruiter.com/personalberatung/friedrich-consulting;Bobritzsch-Hilbersdorf;;;https://bestcruiter.com/person/danny-friedrich
Melanie Göbel;Göbel Automobil Personalberatung;https://www.bestcruiter.com/personalberatung/goebel-automobil-personalberatung;Hallbergmoos;4.83;7 Empfehlungen;https://bestcruiter.com/person/melanie-goebel
Corinna Seyfang;Göbel Automobil Personalberatung;https://www.bestcruiter.com/personalberatung/goebel-automobil-personalberatung;Hallbergmoos;4.80;2 Empfehlungen;https://bestcruiter.com/person/corinna-seyfang
Laura Schröter;Göbel Automobil Personalberatung;https://www.bestcruiter.com/personalberatung/goebel-automobil-personalberatung;Erkrath;5.00;4 Empfehlungen;https://bestcruiter.com/person/laura-schroeter
Heinrich Schaible;Dr. Maier + Partner GmbH I Executive Search;;Stuttgart;;;https://bestcruiter.com/person/heinrich-schaible
Marie-Theres Thalhofer;Göbel Automobil Personalberatung;https://www.bestcruiter.com/personalberatung/goebel-automobil-personalberatung;Hallbergmoos;;;https://bestcruiter.com/person/marie-theres-thalhofer
Verena Bernhard;Göbel Automobil Personalberatung;https://www.bestcruiter.com/personalberatung/goebel-automobil-personalberatung;Hallbergmoos;;;https://bestcruiter.com/person/verena-bernhard
Christian Frey;Manpower Group;;Stuttgart;;;https://bestcruiter.com/person/christian-frey
Julien Meyer-Hörstgen;Easy Consult Personaldienstleistungen;https://www.bestcruiter.com/personalberatung/easy-consult-personaldienstleistungen;Frankfurt am Main;;;https://bestcruiter.com/person/julien-meyer-hoerstgen
Herr Stephan Meyer;locum doctors Ärztevermittlung;https://www.bestcruiter.com/personalberatung/locum-doctors-aerztevermittlung;Oberasbach;;;https://bestcruiter.com/person/stephan-meyer
Tim von Struensee;AVANTGARDE Experts // AVANTGARDE Talents GmbH;;Stuttgart;4.70;2 Empfehlungen;https://bestcruiter.com/person/tim-rainer
Personalleiter IT - Hamburg Andre Kalla;Modis GmbH;;Hamburg;;;https://bestcruiter.com/person/andre-kalla
Kathrin Weber;pbb Buddensiek GmbH;https://www.bestcruiter.com/personalberatung/pbb-buddensiek;Oberursel;4.77;64 Empfehlungen;https://bestcruiter.com/person/kathrin-weber
Reni Sokolova;Easy Consult Personaldienstleistungen;https://www.bestcruiter.com/personalberatung/easy-consult-personaldienstleistungen;Frankfurt am Main;;;https://bestcruiter.com/person/reni-sokolova
Frances Knoblich;Gulp GmbH;https://www.bestcruiter.com/personalberatung/gulp-gmbh;Leipzig;4.85;19 Empfehlungen;https://bestcruiter.com/person/frances-knoblich
Svetlana Gaytandzhieva;Easy Consult Personaldienstleistungen;https://www.bestcruiter.com/personalberatung/easy-consult-personaldienstleistungen;Frankfurt am Main;4.50;2 Empfehlungen;https://bestcruiter.com/person/svetlana-gaytandzhieva
